fold,test_year,model,global_auc,daily_auc,top_k_ret,rank_corr,train_size,test_size,inner_cv_auc
1,2020,LR,0.5339765460056691,0.5279908442301606,0.014762238134661553,0.04482294797536509,26043,16524,0.5280900073660241
1,2020,RF,0.5258833777704025,0.5307424452723597,0.01679891797174081,0.037172619233450624,26043,16524,0.5300809217432451
1,2020,LGBM,0.5312773034450078,0.5370492122628874,0.019439353013189335,0.0505400105942805,26043,16524,0.5253962638017827
2,2021,LR,0.5303774275773351,0.5168956917208666,0.0031301639720148506,0.013174809935021889,32645,16456,0.5214444300588431
2,2021,RF,0.5008841791047189,0.48999951097853195,0.0010916696419663618,-0.013038052114351618,32645,16456,0.521462543226269
2,2021,LGBM,0.5310056281925322,0.5205633527311849,0.005507642679262911,0.031485846117639486,32645,16456,0.5118576456145237
3,2022,LR,0.5212339143996921,0.5073780353065384,-0.004436238950153927,0.007674923745735432,39139,16388,0.5338491215603808
3,2022,RF,0.482135793014632,0.4675783839524663,-0.005465674562648852,-0.035113853366532596,39139,16388,0.5291754493487502
3,2022,LGBM,0.5019624195509862,0.49429153674286136,-0.000685401349733404,-0.010611599742755209,39139,16388,0.5246932125691061
4,2023,LR,0.550271716798159,0.5486932938856015,0.014266657997065921,0.0626817074047439,45686,16320,0.5188052900585115
4,2023,RF,0.5180471318211702,0.5148422090729783,0.009498627818885495,0.0189083299591461,45686,16320,0.5137949581622321
4,2023,LGBM,0.49892237836949377,0.49694280078895464,0.0062023366962102085,-0.0030933146061566884,45686,16320,0.5218063057970453
5,2024,LR,0.5210975379587759,0.5255758227786199,0.004482090898348436,0.030469705540064042,52178,16456,0.5317603768359604
5,2024,RF,0.4929882000332211,0.4958922196684435,0.0006058538718396626,-0.008528041031762832,52178,16456,0.5196302195168441
5,2024,LGBM,0.5087182221927642,0.5072864198738324,0.001022230862749798,0.010868066717626171,52178,16456,0.5196823523636573
6,2025,LR,0.4745804569362262,0.47482741617356994,0.00604870561231383,-0.035852387677978395,52192,16320,0.5390981934820435
6,2025,RF,0.5486369986850756,0.5475591715976331,0.009906101556719109,0.06087338244837195,52192,16320,0.5080645269317293
6,2025,LGBM,0.5282203320184089,0.5292406311637081,0.008244193839689738,0.038290484915575566,52192,16320,0.5144950469156363
7,2026,LR,0.2766149256667049,0.2634693241980692,-0.05039128887515105,-0.3330602521600687,52119,1904,0.5151929948420383
7,2026,RF,0.4866659017522005,0.4886328246652133,-0.009492638242012493,-0.047674383987501394,52119,1904,0.5168579906390874
7,2026,LGBM,0.4670458456948975,0.4674556213017751,-0.016188932800667712,-0.09471536333189837,52119,1904,0.5214969379922292
