rebalance_date,signal_date,entry_date,holdings,n_holdings,n_sold,n_bought,turnover_est,cost,exposure,regime_scale,defense_scale,vol_scale,dd_scale,estimated_vol,regime_score,breadth_gate,benchmark_trend_gate,anchor_used,skipped_no_hold_dates
2020-01-16,2020-01-16,2020-01-17,"['LRCX', 'MELI', 'NVDA', 'FTNT', 'KLAC', 'AMAT', 'JD', 'NFLX', 'AMD', 'MU']",10,0,10,1.0,0.0012,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-01-31,2020-01-31,2020-02-03,"['KLAC', 'AMD', 'FTNT', 'AMAT', 'NVDA', 'AAPL', 'QCOM', 'JD', 'MU', 'MELI']",10,2,2,0.2571308746735958,0.00030855704960831495,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-02-14,2020-02-14,2020-02-18,"['MU', 'KLAC', 'AVGO', 'MCHP', 'AMAT', 'NVDA', 'JD', 'AMD', 'QCOM', 'FTNT']",10,2,2,0.3611111111111111,0.0004333333333333333,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-03-02,2020-03-02,2020-03-03,"['AMD', 'AAPL', 'TSLA', 'MCHP', 'MU', 'JD', 'MELI', 'PANW', 'AMAT', 'NVDA']",10,4,4,0.5555555555555555,0.0006666666666666665,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-03-16,2020-03-16,2020-03-17,"['MCHP', 'AMAT', 'MU', 'LULU', 'TSLA', 'INTC', 'MELI', 'NVDA', 'AMD', 'AAPL']",10,2,2,0.2380952380952381,0.0002857142857142857,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-03-30,2020-03-30,2020-03-31,"['AMAT', 'KLAC', 'LRCX', 'INTC', 'MCHP', 'TSLA', 'NVDA', 'MU', 'AMD', 'MELI']",10,2,2,0.29166666666666663,0.00034999999999999994,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-04-14,2020-04-14,2020-04-15,"['AMAT', 'NVDA', 'LRCX', 'WBD', 'MU', 'MELI', 'CSX', 'INTC', 'KLAC', 'MCHP']",10,2,2,0.3999580613575854,0.0004799496736291024,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-04-28,2020-04-28,2020-04-29,"['ADI', 'AVGO', 'LRCX', 'AMAT', 'NVDA', 'MCHP', 'MELI', 'CTAS', 'MU', 'KLAC']",10,3,3,0.4999266172682669,0.0005999119407219202,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-05-12,2020-05-12,2020-05-13,"['CTAS', 'MU', 'AVGO', 'PAYX', 'NVDA', 'LRCX', 'KLAC', 'MCHP', 'ADI', 'AMAT']",10,1,1,0.34987419726274616,0.0004198490367152953,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
2020-05-27,2020-05-27,2020-05-28,"['CDNS', 'INTC', 'MU', 'KLAC', 'PAYX', 'AMD', 'ADI', 'AVGO', 'MCHP', 'AMAT']",10,3,3,0.41666666666666663,0.0004999999999999999,1.0,1.0,1.0,1.0,1.0,,,False,False,False,False
