fold,test_year,model,global_auc,daily_auc,top_k_ret,rank_corr,train_size,test_size
1,2020,LR,0.5265329235643329,0.5204178537511871,0.01427272130842537,0.030998287425659896,26043,16524
1,2020,RF,0.5354925870911942,0.5370735627145883,0.01727909559949664,0.04853492961891912,26043,16524
1,2020,LGBM,0.5392279764443954,0.5384006623322863,0.016831912469586492,0.047752557100239346,68062,16524
2,2021,LR,0.5454265580688744,0.5303437820920338,0.006853639130384024,0.026014586869924222,32645,16456
2,2021,RF,0.5225119618288433,0.5124455963616803,0.0037907596349166994,0.016931154504159045,32645,16456
2,2021,LGBM,0.4915404337903327,0.49031737493275956,0.0025948122209761603,-0.01704000377281189,85350,16456
3,2022,LR,0.5244629286848841,0.5144982690466252,-0.003994855855924314,0.014781597007048999,39139,16388
3,2022,RF,0.48887928295201694,0.4742566721500651,-0.0009395132314679734,-0.029885405170846143,39139,16388
3,2022,LGBM,0.47262321575184385,0.46982494046011436,-0.0070014997752416135,-0.04147500005785511,102360,16388
4,2023,LR,0.5536142956936226,0.5503944773175543,0.013709730047245428,0.06314557951779466,45686,16320
4,2023,RF,0.5137496918145956,0.5099605522682445,0.009955205922447129,0.015455880240018623,45686,16320
4,2023,LGBM,0.517251088921762,0.5165927021696253,0.012295878203468013,0.036748331932687145,119435,16320
5,2024,LR,0.5209903371782815,0.5225194386033547,0.0037532452727480035,0.024664990660403042,52178,16456
5,2024,RF,0.48123339701389756,0.48070810308572554,0.0012465496072100951,-0.026903907046324463,52178,16456
5,2024,LGBM,0.4670775895202295,0.4710743801652892,-0.0010230358129183026,-0.03337951548777597,136423,16456
6,2025,LR,0.4747307486850756,0.477120315581854,0.005609202463180529,-0.02763373032535532,52192,16320
6,2025,RF,0.5443854783037476,0.5437376725838264,0.008873143085007048,0.054625529640798566,52192,16320
6,2025,LGBM,0.5756481139053253,0.5745931952662722,0.01728416083708444,0.0944981192582566,136483,16320
7,2026,LR,0.29510400104902557,0.28371223917782623,-0.039673633410420475,-0.3091220131309093,52119,1904
7,2026,RF,0.47368421052631576,0.48551853005294293,0.0019333025045126858,-0.055370396515324716,52119,1904
7,2026,LGBM,0.3832221475520005,0.3802553721582062,-0.017514533192579833,-0.16278518040431084,136306,1904
