date,year,quarter_num,quarter,month_num,month_name,month_short,year_month,year_quarter,week_of_year,day_of_month,day_of_week_num,day_of_week,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end
2020-01-17,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,3,17,5,Friday,False,False,False,False,False,False
2020-01-21,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,4,21,2,Tuesday,False,False,False,False,False,False
2020-01-22,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,4,22,3,Wednesday,False,False,False,False,False,False
2020-01-23,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,4,23,4,Thursday,False,False,False,False,False,False
2020-01-24,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,4,24,5,Friday,False,False,False,False,False,False
2020-01-27,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,5,27,1,Monday,False,False,False,False,False,False
2020-01-28,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,5,28,2,Tuesday,False,False,False,False,False,False
2020-01-29,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,5,29,3,Wednesday,False,False,False,False,False,False
2020-01-30,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,5,30,4,Thursday,False,False,False,False,False,False
2020-01-31,2020,1,Q1,1,January,Jan,2020-01,2020-Q1,5,31,5,Friday,False,True,False,False,False,False
2020-02-03,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,6,3,1,Monday,False,False,False,False,False,False
2020-02-04,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,6,4,2,Tuesday,False,False,False,False,False,False
2020-02-05,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,6,5,3,Wednesday,False,False,False,False,False,False
2020-02-06,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,6,6,4,Thursday,False,False,False,False,False,False
2020-02-07,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,6,7,5,Friday,False,False,False,False,False,False
2020-02-10,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,7,10,1,Monday,False,False,False,False,False,False
2020-02-11,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,7,11,2,Tuesday,False,False,False,False,False,False
2020-02-12,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,7,12,3,Wednesday,False,False,False,False,False,False
2020-02-13,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,7,13,4,Thursday,False,False,False,False,False,False
2020-02-14,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,7,14,5,Friday,False,False,False,False,False,False
2020-02-18,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,8,18,2,Tuesday,False,False,False,False,False,False
2020-02-19,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,8,19,3,Wednesday,False,False,False,False,False,False
2020-02-20,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,8,20,4,Thursday,False,False,False,False,False,False
2020-02-21,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,8,21,5,Friday,False,False,False,False,False,False
2020-02-24,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,9,24,1,Monday,False,False,False,False,False,False
2020-02-25,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,9,25,2,Tuesday,False,False,False,False,False,False
2020-02-26,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,9,26,3,Wednesday,False,False,False,False,False,False
2020-02-27,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,9,27,4,Thursday,False,False,False,False,False,False
2020-02-28,2020,1,Q1,2,February,Feb,2020-02,2020-Q1,9,28,5,Friday,False,False,False,False,False,False
2020-03-02,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,10,2,1,Monday,False,False,False,False,False,False
2020-03-03,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,10,3,2,Tuesday,False,False,False,False,False,False
2020-03-04,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,10,4,3,Wednesday,False,False,False,False,False,False
2020-03-05,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,10,5,4,Thursday,False,False,False,False,False,False
2020-03-06,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,10,6,5,Friday,False,False,False,False,False,False
2020-03-09,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,11,9,1,Monday,False,False,False,False,False,False
2020-03-10,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,11,10,2,Tuesday,False,False,False,False,False,False
2020-03-11,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,11,11,3,Wednesday,False,False,False,False,False,False
2020-03-12,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,11,12,4,Thursday,False,False,False,False,False,False
2020-03-13,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,11,13,5,Friday,False,False,False,False,False,False
2020-03-16,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,12,16,1,Monday,False,False,False,False,False,False
2020-03-17,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,12,17,2,Tuesday,False,False,False,False,False,False
2020-03-18,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,12,18,3,Wednesday,False,False,False,False,False,False
2020-03-19,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,12,19,4,Thursday,False,False,False,False,False,False
2020-03-20,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,12,20,5,Friday,False,False,False,False,False,False
2020-03-23,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,23,1,Monday,False,False,False,False,False,False
2020-03-24,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,24,2,Tuesday,False,False,False,False,False,False
2020-03-25,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,25,3,Wednesday,False,False,False,False,False,False
2020-03-26,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,26,4,Thursday,False,False,False,False,False,False
2020-03-27,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,13,27,5,Friday,False,False,False,False,False,False
2020-03-30,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,14,30,1,Monday,False,False,False,False,False,False
2020-03-31,2020,1,Q1,3,March,Mar,2020-03,2020-Q1,14,31,2,Tuesday,False,True,False,True,False,False
2020-04-01,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,14,1,3,Wednesday,True,False,True,False,False,False
2020-04-02,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,14,2,4,Thursday,False,False,False,False,False,False
2020-04-03,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,14,3,5,Friday,False,False,False,False,False,False
2020-04-06,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,6,1,Monday,False,False,False,False,False,False
2020-04-07,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,7,2,Tuesday,False,False,False,False,False,False
2020-04-08,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,8,3,Wednesday,False,False,False,False,False,False
2020-04-09,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,15,9,4,Thursday,False,False,False,False,False,False
2020-04-13,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,13,1,Monday,False,False,False,False,False,False
2020-04-14,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,14,2,Tuesday,False,False,False,False,False,False
2020-04-15,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,15,3,Wednesday,False,False,False,False,False,False
2020-04-16,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,16,4,Thursday,False,False,False,False,False,False
2020-04-17,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,16,17,5,Friday,False,False,False,False,False,False
2020-04-20,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,20,1,Monday,False,False,False,False,False,False
2020-04-21,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,21,2,Tuesday,False,False,False,False,False,False
2020-04-22,2020,2,Q2,4,April,Apr,2020-04,2020-Q2,17,22,3,Wednesday,False,False,False,False,False,False
