date,strategy,equity,cum_return,drawdown,daily_ret,gross_ret,cost_ret,is_entry_day,rebalance_date,signal_date,year,month_num,month,quarter,year_quarter,day_of_week,days_since_start
2020-01-16,BH_Full,10041.874997200986,0.004187499720098575,0.0,0.004187499720098575,0.004187499720098575,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Thursday,0
2020-01-16,BH_MCap10,10058.711949067021,0.005871194906702071,0.0,0.005871194906702071,0.005871194906702071,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Thursday,0
2020-01-16,BH_QQQ,10000.0,0.0,0.0,0.0,0.0,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Thursday,0
2020-01-17,BH_Full,10066.456550305464,0.00664565503054626,0.0,0.002447904710159099,0.002447904710159099,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Friday,1
2020-01-17,BH_MCap10,10102.921084248883,0.010292108424888369,0.0,0.004395108976747553,0.004395108976747553,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Friday,1
2020-01-17,BH_QQQ,10049.48989324321,0.004948989324320863,0.0,0.004948989324320863,0.004948989324320863,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Friday,1
2020-01-17,ML_Full_CW,9988.212434937783,-0.0011787565062216787,0.0,-0.0011787565062217897,2.1269016598152678e-05,-0.0012000255228199425,True,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Friday,0
2020-01-17,ML_Full_EW,9992.49956615581,-0.0007500433844190857,0.0,-0.0007500433844189747,0.00045049721223561803,-0.0012005405966545926,True,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Friday,0
2020-01-21,BH_Full,10051.14714906435,0.005114714906435003,-0.0015208331913625361,-0.0015208331913625361,-0.0015208331913625361,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Tuesday,5
2020-01-21,BH_MCap10,10192.264817462854,0.019226481746285495,0.0,0.008843356537077574,0.008843356537077574,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Tuesday,5
2020-01-21,BH_QQQ,10044.990229239966,0.00449902292399651,-0.00044775048793965766,-0.00044775048793965766,-0.00044775048793965766,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Tuesday,5
2020-01-21,ML_Full_CW,9930.9824530504,-0.006901754694960127,-0.0057297521713893795,-0.005729752171389408,-0.005729752171389408,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Tuesday,4
2020-01-21,ML_Full_EW,9942.434860675503,-0.005756513932449692,-0.005010228436724051,-0.005010228436724043,-0.005010228436724043,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Tuesday,4
2020-01-22,BH_Full,10094.336501720378,0.009433650172037789,0.0,0.004296957552755387,0.004296957552755387,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Wednesday,6
2020-01-22,BH_MCap10,10274.570242580317,0.027457024258031648,0.0,0.008075283226201657,0.008075283226201657,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Wednesday,6
2020-01-22,BH_QQQ,10071.532334683827,0.0071532334683825916,0.0,0.002642322674102804,0.002642322674102804,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Wednesday,6
2020-01-22,ML_Full_CW,9945.805949369018,-0.005419405063098237,-0.004245653148148065,0.0014926515466821425,0.0014926515466821425,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Wednesday,5
2020-01-22,ML_Full_EW,9957.69840031459,-0.004230159968541036,-0.003482728781804445,0.0015351913140972514,0.0015351913140972514,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Wednesday,5
2020-01-23,BH_Full,10118.518494330698,0.011851849433069717,0.0,0.0023956000085987306,0.0023956000085987306,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Thursday,7
2020-01-23,BH_MCap10,10329.61972645196,0.03296197264519596,0.0,0.005357838096575973,0.005357838096575973,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Thursday,7
2020-01-23,BH_QQQ,10103.9232197906,0.010392321979060037,0.0,0.0032160831172856064,0.0032160831172856064,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Thursday,7
2020-01-23,ML_Full_CW,10103.967052170088,0.010396705217008861,0.0,0.015902291237755748,0.015902291237755748,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Thursday,6
2020-01-23,ML_Full_EW,10118.124099547586,0.011812409954758518,0.0,0.016110720849702314,0.016110720849702314,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Thursday,6
2020-01-24,BH_Full,10009.61553033935,0.0009615530339350808,-0.010762738048298748,-0.010762738048298748,-0.010762738048298748,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Friday,8
2020-01-24,BH_MCap10,10336.6645313392,0.033666453133919916,0.0,0.0006820004098699872,0.0006820004098699872,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Friday,8
2020-01-24,BH_QQQ,10018.895454648416,0.0018895454648415466,-0.008415321780715801,-0.008415321780715801,-0.008415321780715801,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Friday,8
2020-01-24,ML_Full_CW,9985.437614772034,-0.001456238522796638,-0.01173098019679275,-0.011730980196792778,-0.011730980196792778,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Friday,7
2020-01-24,ML_Full_EW,9991.860540012703,-0.0008139459987296371,-0.012478949486350754,-0.012478949486350597,-0.012478949486350597,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Friday,7
2020-01-27,BH_Full,9827.039162956435,-0.017296083704356535,-0.02880652256924532,-0.01824009791680037,-0.01824009791680037,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Monday,11
2020-01-27,BH_MCap10,10104.605963507947,0.01046059635079466,-0.022450043447544088,-0.022450043447544088,-0.022450043447544088,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Monday,11
2020-01-27,BH_QQQ,9811.949375254027,-0.018805062474597234,-0.028897076728045867,-0.02065557828516651,-0.02065557828516651,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Monday,11
2020-01-27,ML_Full_CW,9661.87855101665,-0.03381214489833495,-0.04375395316223718,-0.03240309300783408,-0.03240309300783408,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Monday,10
2020-01-27,ML_Full_EW,9661.256766571689,-0.033874323342831136,-0.04515336325992725,-0.03308730862656689,-0.03308730862656689,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Monday,10
2020-01-28,BH_Full,9951.144714949443,-0.004885528505055636,-0.016541332555258137,0.012628987219347909,0.012628987219347909,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Tuesday,12
2020-01-28,BH_MCap10,10301.232161201453,0.030123216120145235,-0.003427834001028196,0.01945906633109762,0.01945906633109762,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Tuesday,12
2020-01-28,BH_QQQ,9962.660695417124,-0.0037339304582876265,-0.01398095782208486,0.0153599773499844,0.0153599773499844,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Tuesday,12
2020-01-28,ML_Full_CW,9923.412330658277,-0.007658766934172334,-0.017869686290498343,0.0270686262780757,0.0270686262780757,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Tuesday,11
2020-01-28,ML_Full_EW,9920.727029052614,-0.007927297094738606,-0.01950925572298501,0.026856781550274243,0.026856781550274243,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Tuesday,11
2020-01-29,BH_Full,9894.156047438788,-0.010584395256121204,-0.022173448318310363,-0.0057268454175972705,-0.0057268454175972705,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Wednesday,13
2020-01-29,BH_MCap10,10364.203425208509,0.03642034252085091,0.0,0.006112983672402761,0.006112983672402761,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Wednesday,13
2020-01-29,BH_QQQ,9978.856494125648,-0.002114350587435143,-0.01237803603059684,0.001625649934657858,0.001625649934657858,0.0,False,,,2020,1,2020-01,Q1,2020-Q1,Wednesday,13
2020-01-29,ML_Full_CW,9814.884552881153,-0.018511544711884764,-0.02861079195887206,-0.010936538174658818,-0.010936538174658818,0.0,False,2020-01-16,2020-01-16,2020,1,2020-01,Q1,2020-Q1,Wednesday,12
