fold,test_year,model,global_auc,daily_auc,top_k_ret,rank_corr,train_size,test_size,strategy,feature_set
1,2020,LR,0.5265329235643329,0.5204178537511871,0.0142727213084253,0.0309982874256598,26043,16524,ML_Full_EW,Full
1,2020,RF,0.5354925870911942,0.5370735627145883,0.0172790955994966,0.0485349296189191,26043,16524,ML_Full_EW,Full
1,2020,LGBM,0.5392279764443954,0.5384006623322863,0.0168319124695864,0.0477525571002393,68062,16524,ML_Full_EW,Full
2,2021,LR,0.5454265580688744,0.5303437820920338,0.006853639130384,0.0260145868699242,32645,16456,ML_Full_EW,Full
2,2021,RF,0.5225119618288433,0.5124455963616803,0.0037907596349166,0.016931154504159,32645,16456,ML_Full_EW,Full
2,2021,LGBM,0.4915404337903327,0.4903173749327595,0.0025948122209761,-0.0170400037728118,85350,16456,ML_Full_EW,Full
3,2022,LR,0.5244629286848841,0.5144982690466252,-0.0039948558559243,0.0147815970070489,39139,16388,ML_Full_EW,Full
3,2022,RF,0.4888792829520169,0.4742566721500651,-0.0009395132314679,-0.0298854051708461,39139,16388,ML_Full_EW,Full
3,2022,LGBM,0.4726232157518438,0.4698249404601143,-0.0070014997752416,-0.0414750000578551,102360,16388,ML_Full_EW,Full
4,2023,LR,0.5536142956936226,0.5503944773175543,0.0137097300472454,0.0631455795177946,45686,16320,ML_Full_EW,Full
4,2023,RF,0.5137496918145956,0.5099605522682445,0.0099552059224471,0.0154558802400186,45686,16320,ML_Full_EW,Full
4,2023,LGBM,0.517251088921762,0.5165927021696253,0.012295878203468,0.0367483319326871,119435,16320,ML_Full_EW,Full
5,2024,LR,0.5209903371782815,0.5225194386033547,0.003753245272748,0.024664990660403,52178,16456,ML_Full_EW,Full
5,2024,RF,0.4812333970138975,0.4807081030857255,0.00124654960721,-0.0269039070463244,52178,16456,ML_Full_EW,Full
5,2024,LGBM,0.4670775895202295,0.4710743801652892,-0.0010230358129183,-0.0333795154877759,136423,16456,ML_Full_EW,Full
6,2025,LR,0.4747307486850756,0.477120315581854,0.0056092024631805,-0.0276337303253553,52192,16320,ML_Full_EW,Full
6,2025,RF,0.5443854783037476,0.5437376725838264,0.008873143085007,0.0546255296407985,52192,16320,ML_Full_EW,Full
6,2025,LGBM,0.5756481139053253,0.5745931952662722,0.0172841608370844,0.0944981192582566,136483,16320,ML_Full_EW,Full
7,2026,LR,0.2951040010490255,0.2837122391778262,-0.0396736334104204,-0.3091220131309093,52119,1904,ML_Full_EW,Full
7,2026,RF,0.4736842105263157,0.4855185300529429,0.0019333025045126,-0.0553703965153247,52119,1904,ML_Full_EW,Full
7,2026,LGBM,0.3832221475520005,0.3802553721582062,-0.0175145331925798,-0.1627851804043108,136306,1904,ML_Full_EW,Full
